,Name,Processor,RAM,Operating System,Storage,Display,Price
187,HP 15s Core,Microsoft Core i5,8,64,512,35.56,62990
188,Lenovo IdeaPad Core,Intel Core i3,8,64,512,33.78,43990
189,HP Spectre x360,Intel Core i5,16,64,256,35.56,183990
190,LG Gram Core,Intel Core i5,8,64,512,35.56,69990
191,ASUS ROG Zephyrus,AMD Ryzen 7,32,64,256,35.56,234990
192,MSI GL65 Leopard,Intel Core i5,16,64,1,33.78,109990
193,ASUS Ryzen 5,Intel Core i5,4,64,1,39.62,43990
194,DELL 3501 Core,Intel Core i5,4,64,256,39.62,57440
195,HP Omen Core,Intel Core i7,8,64,512,35.56,102551
196,Lenovo Ideapad 5,Intel Core i5,8,64,512,39.62,60990
197,ASUS TUF Gaming,Intel Core i7,8,64,512,33.78,73990
198,Lenovo Core i5,Intel Core i5,8,64,512,39.62,49990
199,Lenovo Yoga C640,Intel Core i5,8,64,1,39.62,72989
200,Lenovo Ideapad S145,Intel Core i9,8,64,512,39.62,43990
201,MSI Modern 14,Intel Core i3,8,64,1,33.78,79990
202,ASUS ZenBook Duo,AMD Ryzen 5,16,64,512,39.62,114990
203,ASUS ZenBook Duo,Intel Core i7,8,64,512,33.78,105590
204,acer Predator Helios,AMD Ryzen 3,16,64,512,39.62,116990
205,DELL Inspiron Core,Intel Core i7,4,64,1,35.56,56899
206,MSI Prestige 14,Intel Core i7,16,64,1,39.62,84990
207,Lenovo IdeaPad Core,Intel Core i7,8,64,1,39.62,43990
208,HP Ryzen 5,Intel Core i7,8,64,256,39.62,40990
209,MSI GP65 Leopard,Intel Core i5,16,64,1,38.1,104990
210,ASUS ExpertBook P2,AMD Ryzen 7,8,64,1,35.56,93990
211,LG Gram 15,Intel Core i9,8,64,1,39.62,72990
212,ASUS ROG Strix,Intel Core i5,16,64,256,35.56,104990
213,MSI GL65 Leopard,Intel Core i5,16,64,1,35.56,109990
214,Lenovo ThinkPad E15,Intel Core i5,8,64,1,39.62,75990
215,ASUS ROG Strix,Intel Core i3,16,64,512,39.62,84990
216,ASUS ExpertBook P2,Intel Core i3,8,64,512,34.54,69290
217,Lenovo Ideapad 5,Intel Core i7,8,64,1,39.62,60990
218,APPLE MacBook Pro,Intel Core i7,8,64,1,35.56,169990
219,Lenovo Ideapad 720S,Intel Core i5,8,64,512,35.56,74990
220,ASUS VivoBook Flip,Intel Core i3,4,64,1,39.62,50450
221,DELL INSPIRON Core,Intel Core i7,8,64,512,35.56,43500
222,MSI Creator 17,Intel Core i7,32,64,1,39.62,264990
223,ASUS TUF Gaming,Intel Core i7,8,64,1,39.62,91990
224,ASUS Core i5,Intel Core i5,8,64,1,33.78,56990
225,DELL Inspiron Core,Intel Core i7,8,64,512,35.56,95825
226,Lenovo IdeaPad Core,Intel Core i3,8,64,512,15.6,43990
227,ASUS ROG Strix,AMD Ryzen 7,16,64,256,39.62,139990
228,MSI GL65 Leopard,AMD Ryzen 5,16,64,1,39.62,109990
229,Lenovo Ideapad 3,Intel Core i5,4,64,512,39.62,45990
230,DELL XPS 13,AMD Ryzen 5,16,64,1,39.62,114990
231,Lenovo Ideapad 5,Intel Core i5,8,64,512,39.62,60990
232,Lenovo Yoga Slim,Intel Core i5,8,64,256,39.62,77990
233,HP Pavilion Gaming,Intel Core i7,8,64,512,35.56,75290
234,Lenovo IdeaPad Core,Intel Core i5,8,64,1,39.62,62690
235,ASUS Ryzen 5,Intel Core i5,4,64,1,33.78,43990
236,ASUS ExpertBook P2,Intel Core i5,8,64,512,33.78,86990
237,HP Omen Core,Intel Core i5,8,64,256,39.62,102551
238,Avita Liber Core,AMD Ryzen 5,8,64,512,35.56,40890
239,Avita Liber V14,Intel Core i7,8,64,1,39.62,38990
240,HP Omen Core,AMD Ryzen 5,8,64,512,39.62,96490
241,Lenovo Ideapad S145,Intel Core i7,8,64,1,39.62,43990
242,ASUS ROG Strix,Intel Core i3,8,64,1,33.78,64990
243,MICROSOFT Surface Laptop,Intel Core i7,8,64,1,33.78,89990
244,Lenovo ThinkPad E14,Intel Core i5,8,64,512,35.56,53990
245,acer Predator Helios,Intel Core i5,16,64,128,39.62,116990
246,Lenovo Ideapad S145,Intel Core i7,4,64,256,39.62,36990
247,Lenovo Ideapad S145,AMD Ryzen 7,8,64,1,39.62,44999
248,MSI Core i7,Intel Core i7,16,64,1,39.62,158990
249,ASUS ExpertBook B9,AMD Ryzen 7,16,64,1,39.62,154990
250,acer ConceptD 5,Intel Core i5,8,64,256,33.78,99500
251,acer ConceptD 5,Intel Core i7,16,64,1,39.62,114427
252,MSI GL65 Leopard,Intel Core i5,16,64,512,35.56,109990
253,Lenovo Ideapad Gaming,Intel Core i5,8,64,1,35.56,67999
254,MSI GS Core,Intel Core i5,16,64,1,35.56,149990
255,HP Core i3,Intel Core i5,8,64,512,39.62,41990
256,Lenovo Ideapad 5,Intel Core i5,8,64,512,35.56,60990
257,ASUS ExpertBook B9,Intel Core i7,8,64,512,39.62,132790
258,Lenovo Ideapad 3,Intel Core i5,8,64,512,39.62,69890
259,Lenovo Ideapad S145,Intel Core i5,8,64,512,35.56,43990
260,acer Swift 3,Intel Core i3,8,64,1,35.56,59434
261,acer Aspire 5,Intel Core i5,8,64,1,35.56,61990
