,bike_name,price,kms_driven,owner,age,power,brand
2375,Honda CB Trigger,35000,37000,First,7,150,Honda
2376,Royal Enfield Classic,90000,2539,First,7,500,Royal Enfield
2377,Royal Enfield Classic,120000,12827,First,4,500,Royal Enfield
2378,Royal Enfield Standard,95000,16000,First,6,350,Royal Enfield
2379,Bajaj Platina 100cc,21500,30000,First,9,100,Bajaj
2380,Honda CBF Stunner,18000,24657,First,12,125,Honda
2381,Bajaj Discover 100cc,27000,102892,First,8,100,Bajaj
2382,Bajaj CT 100,22000,14459,First,5,100,Bajaj
2383,Bajaj Pulsar RS200,82000,41292,First,6,200,Bajaj
2384,Bajaj CT 100,10000,27000,First,16,100,Bajaj
2385,Royal Enfield Thunderbird,61000,14159,First,8,350,Royal Enfield
2386,Honda CB Shine,28000,24310,First,7,125,Honda
2387,Bajaj CT 100,21500,22398,First,5,100,Bajaj
2388,Bajaj Pulsar 150cc,20000,65000,First,10,150,Bajaj
2389,Suzuki Gixxer 150cc,38000,19300,Second,4,150,Suzuki
2390,Jawa Forty Two,190000,2000,First,2,295,Jawa
2391,KTM Duke 390cc,200000,16000,First,3,390,KTM
2392,Royal Enfield Classic,125000,36000,First,4,350,Royal Enfield
2393,Yamaha FZ S,45000,40718,First,7,150,Yamaha
2394,Hero Passion Pro,62000,1800,First,2,100,Hero
2395,Suzuki Gixxer SF,76000,17000,First,4,150,Suzuki
2396,Yamaha YZF-R15 V3,106400,10000,First,3,150,Yamaha
2397,Suzuki Intruder 150cc,85000,7444,First,3,150,Suzuki
2398,BMW G 310,360000,7093,First,3,310,BMW
2399,Bajaj Platina 100cc,35599,14616,First,3,100,Bajaj
2400,TVS Apache RTR,60000,838,First,3,160,TVS
2401,Bajaj Discover 125cc,43000,13500,First,5,125,Bajaj
2402,TVS Apache RTR,47000,24000,Second,4,180,TVS
2403,Royal Enfield Standard,110000,27000,First,5,350,Royal Enfield
2404,Yamaha YZF-R15 2.0,73000,13175,Second,5,150,Yamaha
2405,Bajaj Pulsar RS200,86300,18500,First,5,200,Bajaj
2406,Bajaj Pulsar 200,45000,27700,First,7,200,Bajaj
2407,Honda X-Blade 160cc,81300,8331,First,3,160,Honda
2408,Bajaj Pulsar 180cc,73000,2055,First,3,180,Bajaj
2409,KTM Duke 125cc,135000,4549,First,2,125,KTM
2410,TVS Apache RTR,55000,20363,First,4,180,TVS
2411,TVS Apache RTR,36000,35688,First,6,180,TVS
2412,Bajaj Pulsar AS150,41000,5095,First,5,150,Bajaj
2413,KTM RC 125CC,140000,6000,First,2,125,KTM
2414,Suzuki Gixxer SF,65000,27700,First,5,150,Suzuki
2415,Hero CD Deluxe,19500,10000,First,14,100,Hero
