,bike_name,price,kms_driven,owner,age,power,brand
0,TVS Star City,35000,17654,First,3,110,TVS
1,Royal Enfield Classic,119900,11000,First,4,350,Royal Enfield
2,Triumph Daytona 675R,600000,110,First,8,675,Triumph
3,TVS Apache RTR,65000,16329,First,4,180,TVS
4,Yamaha FZ S,80000,10000,First,3,150,Yamaha
5,Yamaha FZs 150cc,53499,25000,First,6,150,Yamaha
6,Honda CB Hornet,85000,8200,First,3,160,Honda
7,Hero Splendor Plus,45000,12645,First,3,100,Hero
8,Royal Enfield Thunderbird,145000,9190,First,3,350,Royal Enfield
9,Royal Enfield Classic,88000,19000,Second,7,500,Royal Enfield
10,Yamaha YZF-R15 2.0,72000,20000,First,7,150,Yamaha
11,Yamaha FZ25 250cc,95000,9665,First,4,250,Yamaha
12,Bajaj Pulsar NS200,78000,9900,First,4,200,Bajaj
13,Bajaj Discover 100M,29499,20000,First,8,100,Bajaj
14,Bajaj Discover 125M,29900,20000,First,7,125,Bajaj
15,Bajaj Pulsar NS200,90000,11574,First,3,200,Bajaj
16,Bajaj Pulsar RS200,120000,23000,First,3,200,Bajaj
17,Suzuki Gixxer SF,48000,24725,First,5,150,Suzuki
18,Benelli 302R 300CC,240000,15025,Second,3,302,Benelli
19,Hero Splendor iSmart,46500,3500,First,2,110,Hero
20,Royal Enfield Classic,121700,24520,First,5,500,Royal Enfield
21,Yamaha FZ V,45000,23000,First,6,150,Yamaha
22,Hero Super Splendor,20000,29305,First,16,125,Hero
23,Honda CBF Stunner,20800,30500,Second,7,125,Honda
24,Bajaj Pulsar 150cc,50000,19000,First,8,150,Bajaj
25,Honda X-Blade 160CC,81200,9100,First,2,160,Honda
26,Bajaj Pulsar NS200,88000,21914,First,3,200,Bajaj
27,Yamaha YZF-R15 2.0,80000,20000,Second,4,150,Yamaha
28,Bajaj Avenger 220cc,40900,15000,First,6,220,Bajaj
29,KTM RC 390cc,180000,17700,First,4,390,KTM
30,Honda CB Unicorn,40000,30000,First,8,150,Honda
31,KTM Duke 200cc,70000,100000,Second,8,200,KTM
32,Royal Enfield Classic,98800,39000,First,5,350,Royal Enfield
33,Honda CBR 150R,65000,43000,First,6,150,Honda
34,Royal Enfield Thunderbird,190500,4550,First,2,500,Royal Enfield
35,KTM RC 200cc,179000,3400,First,2,200,KTM
36,Royal Enfield Thunderbird,70000,45000,First,8,350,Royal Enfield
37,Bajaj Avenger 220cc,45000,36100,First,6,220,Bajaj
38,Royal Enfield Bullet,78000,8500,First,13,350,Royal Enfield
39,Bajaj Avenger Street,110000,2550,First,2,220,Bajaj
40,Royal Enfield Classic,85000,18000,First,6,350,Royal Enfield
41,Bajaj Pulsar NS200,38000,35000,First,9,200,Bajaj
42,Royal Enfield Thunderbird,55346,38000,First,10,350,Royal Enfield
43,Mahindra Centuro NXT,28000,45000,First,2,110,Mahindra
44,Hero Hunk 150cc,37000,10800,First,8,150,Hero
45,Suzuki Gixxer SF,97000,4400,First,3,150,Suzuki
46,Yamaha FZ 150cc,40000,357000,First,8,150,Yamaha
47,Royal Enfield‎ Bullet,90000,15300,First,7,350,Royal Enfield
48,TVS Apache RTR,60000,30000,First,5,160,TVS
49,Honda CB Shine,21900,30000,Second,7,125,Honda
50,Bajaj Avenger 220cc,40000,64000,First,7,220,Bajaj
51,Benelli TNT 600i,475000,11500,Second,3,600,Benelli
52,Honda Dream Yuga,34500,17056,First,5,110,Honda
53,Yamaha SZ 150cc,25000,172082,First,9,150,Yamaha
54,Suzuki Gixxer 150cc,30200,45000,First,7,150,Suzuki
55,Bajaj Avenger Cruise,65000,35000,First,5,220,Bajaj
56,Bajaj Pulsar 150cc,25000,38000,First,9,150,Bajaj
57,Kawasaki Z900,935000,2500,First,2,900,Kawasaki
58,Royal Enfield Bullet,107100,15438,Second,3,350,Royal Enfield
59,Bajaj Pulsar 220cc,80000,6000,First,3,220,Bajaj
60,Royal Enfield Thunderbird,88000,19000,First,5,350,Royal Enfield
61,KTM Duke 200cc,94700,32700,First,4,200,KTM
62,Hero CD Deluxe,12200,46643,First,14,100,Hero
63,Royal Enfield Classic,106000,19000,First,6,350,Royal Enfield
64,Bajaj Pulsar 220cc,29500,40700,First,12,220,Bajaj
65,Kawasaki Ninja 650cc,290000,11350,First,7,650,Kawasaki
66,Royal Enfield Thunderbird,110000,1600,First,6,350,Royal Enfield
67,Bajaj Platina 125cc,27000,44410,First,10,125,Bajaj
68,Royal Enfield Thunderbird,65000,9800,First,11,350,Royal Enfield
69,Royal Enfield Thunderbird,150000,15000,First,3,350,Royal Enfield
70,Hero Karizma ZMR,55786,68000,Second,7,223,Hero
71,Bajaj Pulsar 180cc,45000,17757,First,8,180,Bajaj
72,Yamaha FZ25 ABS,146000,3900,First,2,250,Yamaha
73,Royal Enfield Thunderbird,115000,23700,First,4,350,Royal Enfield
74,Bajaj CT 100,30000,8250,First,3,100,Bajaj
75,Bajaj Pulsar RS200,93100,10000,First,5,200,Bajaj
76,Yamaha YZF-R15 2.0,82000,4300,Second,3,150,Yamaha
77,Royal Enfield Interceptor,260000,3800,First,2,650,Royal Enfield
78,Honda CB Shine,38000,33000,First,7,125,Honda
79,KTM Duke 250cc,130000,17500,Second,4,250,KTM
80,Royal Enfield Himalayan,118000,19000,First,4,410,Royal Enfield
81,Bajaj Pulsar 135LS,14700,10000,First,11,135,Bajaj
82,Royal Enfield Thunderbird,85000,54000,First,6,350,Royal Enfield
83,Bajaj Pulsar 220F,40000,27000,First,7,220,Bajaj
84,Yamaha FZ16 150cc,50000,19000,First,6,150,Yamaha
85,Royal Enfield Thunderbird,71800,43500,First,7,350,Royal Enfield
86,Bajaj Pulsar NS200,75000,11575,First,4,200,Bajaj
87,Ducati Scrambler 1100,1350000,190,First,1,1100,Ducati
88,Triumph Street Triple,790000,19000,First,3,765,Triumph
89,Bajaj V15 150cc,47000,8600,First,4,150,Bajaj
90,Bajaj Pulsar 150cc,60000,2000,First,2,150,Bajaj
91,Suzuki Gixxer Fi,96700,5100,First,1,150,Suzuki
92,Hero Splendor plus,31900,9000,First,5,100,Hero
93,Bajaj Pulsar 150cc,35000,44480,First,13,150,Bajaj
94,KTM Duke 390cc,240000,11000,First,3,390,KTM
95,Honda CBR 250R,68000,16000,First,7,250,Honda
96,Bajaj Pulsar RS200,80000,26691,First,5,200,Bajaj
97,Royal Enfield Classic,135000,45000,First,5,350,Royal Enfield
98,Bajaj Pulsar 150cc,11100,12000,Third,12,150,Bajaj
99,Benelli TNT 600i,480000,14200,First,4,600,Benelli
100,Suzuki Gixxer 150cc,65000,41000,First,3,150,Suzuki
101,Yamaha FZ S,60000,15000,First,5,150,Yamaha
102,Honda CBR 150R,80000,12314,First,4,150,Honda
103,Hero Splendor Plus,46000,11760,First,3,100,Hero
104,Royal Enfield Classic,95000,22000,First,11,500,Royal Enfield
105,Hyosung GT650R,400000,1800,First,4,650,Hyosung
106,Bajaj V15 150cc,55000,4400,First,4,150,Bajaj
107,Yamaha YZF-R15 S,63000,16000,First,5,150,Yamaha
108,Bajaj V15 150cc,51000,9000,First,4,150,Bajaj
109,TVS Apache RTR,69900,8700,First,3,160,TVS
110,Bajaj Pulsar RS200,125000,1342,First,4,200,Bajaj
111,Benelli TNT 300,210000,21000,First,6,300,Benelli
112,Honda CB ShineSP,35900,19000,First,5,125,Honda
113,Honda CBR 250R,67000,13000,First,9,250,Honda
114,Hero Passion Pro,29339,12771,First,4,100,Hero
115,Hero Splendor Plus,19695,51576,First,6,100,Hero
116,Hero Splendor iSmart,48672,608,First,2,110,Hero
117,Honda CBR 150R,40000,13680,First,9,150,Honda
118,Yamaha YZF R6,500000,285,First,5,600,Yamaha
119,Ducati 1299 Superleggera,800000,3,First,3,1299,Ducati
120,Royal Enfield Himalayan,110000,24676,First,5,410,Royal Enfield
121,Royal Enfield Classic,92500,11000,First,6,350,Royal Enfield
122,Bajaj Pulsar NS200,57000,28948,First,5,200,Bajaj
123,Royal Enfield Electra,72500,10000,First,10,350,Royal Enfield
124,KTM Duke 200cc,68000,16000,First,9,200,KTM
125,TVS Phoenix Disc,21500,10500,First,5,125,TVS
126,TVS Apache RTR,40000,20000,First,6,160,TVS
127,Royal Enfield Classic,91000,18000,First,5,350,Royal Enfield
128,Harley-Davidson Street 750,300000,3500,First,6,750,Harley-Davidson
129,Suzuki Gixxer SF,47000,70000,First,6,150,Suzuki
130,Suzuki Gixxer 150cc,53000,18158,First,6,150,Suzuki
131,Suzuki Gixxer 150cc,51000,39140,First,5,150,Suzuki
132,Bajaj Pulsar 220F,48000,27776,First,8,220,Bajaj
133,Bajaj Pulsar 220cc,55000,32734,First,6,220,Bajaj
134,Royal Enfield Himalayan,173300,14000,First,2,410,Royal Enfield
135,Royal Enfield Bullet,77000,13000,First,8,350,Royal Enfield
136,Bajaj Pulsar NS200,115000,5000,First,2,200,Bajaj
137,Bajaj Discover 150cc,36000,39500,First,7,150,Bajaj
138,Bajaj Avenger Street,72000,29500,First,4,220,Bajaj
139,Royal Enfield Standard,115000,14900,First,3,350,Royal Enfield
140,Honda CB Shine,65000,2000,First,3,125,Honda
141,Honda CB Unicorn,99000,4000,First,2,150,Honda
142,Yamaha YZF-R15 2.0,68500,68500,Second,7,150,Yamaha
143,Yamaha YZF-R15 V3,140000,2473,First,2,150,Yamaha
144,KTM Duke 200cc,130000,9221,First,3,200,KTM
145,Bajaj Pulsar NS,46000,37128,First,7,200,Bajaj
146,Hero Super Splendor,30000,16166,First,6,125,Hero
147,Bajaj Dominar 400,116000,11716,First,3,400,Bajaj
148,Royal Enfield Classic,130000,8419,First,3,350,Royal Enfield
149,Royal Enfield Classic,98000,13459,First,5,350,Royal Enfield
150,Royal Enfield Classic,85000,14704,First,6,350,Royal Enfield
151,Bajaj V15 150cc,50000,9200,First,4,150,Bajaj
152,Royal Enfield Thunderbird,100000,30294,First,5,350,Royal Enfield
153,Royal Enfield Thunderbird,66000,19756,First,8,350,Royal Enfield
154,Honda X-Blade 160cc,80000,12000,First,2,160,Honda
155,Royal Enfield Classic,123600,7702,First,3,350,Royal Enfield
156,Suzuki Hayabusa 1300cc,950000,312,First,3,1300,Suzuki
157,Royal Enfield Classic,107000,17000,First,4,350,Royal Enfield
158,Ducati Monster 821,600000,16000,First,5,821,Ducati
159,Yamaha FZ S,80000,3500,First,3,150,Yamaha
160,Suzuki Gixxer SF,75000,11050,First,4,150,Suzuki
161,Hero Super Splendor,43778,948,First,2,125,Hero
162,KTM RC 200cc,118000,11200,Second,5,200,KTM
163,Yamaha FZ V,68000,10407,First,5,150,Yamaha
164,Bajaj Discover 125ST,27000,23000,First,8,125,Bajaj
165,Hero Splendor Plus,48500,5500,First,2,100,Hero
166,Hero Karizma 223cc,15000,38000,First,15,223,Hero
167,KTM Duke 200cc,95000,23000,First,5,200,KTM
168,KTM Duke 200cc,145000,4500,First,4,200,KTM
169,Yamaha FZs 150cc,62000,11227,First,3,150,Yamaha
170,Hero Splendor 100cc,25000,45000,First,9,100,Hero
171,Ducati 1198 SP,700000,100,First,6,1198,Ducati
172,Royal Enfield Bullet,160000,3500,First,3,500,Royal Enfield
173,Bajaj Avenger Street,47500,30000,First,5,220,Bajaj
174,Yamaha Fazer 150cc,21000,38000,First,9,150,Yamaha
175,Yamaha Gladiator 125cc,18000,22000,First,12,125,Yamaha
176,Hero Karizma R,36000,54560,First,8,223,Hero
177,Yamaha FZ 150cc,52000,33150,First,6,150,Yamaha
178,Harley-Davidson Iron 883,435000,5550,Second,7,883,Harley-Davidson
179,TVS Apache RTR,68000,12077,First,5,200,TVS
180,Bajaj Pulsar 220cc,80000,5000,First,4,220,Bajaj
181,Royal Enfield Classic,110800,13300,First,6,500,Royal Enfield
182,TVS Apache RTR,85000,16000,First,2,160,TVS
183,Royal Enfield Electra,145000,4000,First,2,350,Royal Enfield
184,Bajaj Dominar 400,145000,3000,First,3,400,Bajaj
185,Royal Enfield Classic,149000,7000,First,3,350,Royal Enfield
186,Hero HF Deluxe,60000,4000,First,2,100,Hero
187,Royal Enfield Classic,140000,11000,First,4,350,Royal Enfield
188,KTM Duke 200cc,85000,15000,First,7,200,KTM
189,Bajaj Pulsar 220cc,86000,15000,First,3,220,Bajaj
190,Royal Enfield Bullet,115000,15500,First,4,350,Royal Enfield
191,Suzuki Gixxer SF,83000,500,First,3,150,Suzuki
192,Bajaj Pulsar 180cc,28000,35251,First,12,180,Bajaj
193,Hero Splendor Plus,14500,35000,First,14,100,Hero
194,Hero Splendor iSmart,32000,22000,First,5,110,Hero
195,Bajaj Pulsar 180cc,62500,26000,First,5,180,Bajaj
196,Yamaha YZF-R15 V3,122500,10000,First,3,150,Yamaha
197,Bajaj Platina 100cc,24500,15000,First,6,100,Bajaj
198,TVS Apache RTR,78500,26000,First,4,200,TVS
199,Royal Enfield Bullet,102500,21000,First,4,350,Royal Enfield
200,TVS Star City,28000,28428,First,9,110,TVS
201,Royal Enfield Classic,130000,10149,First,3,350,Royal Enfield
202,Royal Enfield Classic,130000,7036,First,3,350,Royal Enfield
203,Bajaj Dominar 400,115000,7593,First,4,400,Bajaj
204,KTM RC 200cc,96000,17000,First,6,200,KTM
205,Bajaj Platina ,29500,15798,First,4,100,Bajaj
206,Yamaha YZF-R15 2.0,100000,4800,First,4,150,Yamaha
207,Royal Enfield Himalayan,177982,7000,First,2,410,Royal Enfield
208,Royal Enfield Himalayan,202000,11000,First,2,410,Royal Enfield
209,KTM RC 200cc,113000,28000,Third,6,200,KTM
210,Bajaj Avenger Street,45400,23000,Second,5,220,Bajaj
211,Royal Enfield Classic,105000,16000,First,4,350,Royal Enfield
212,Ducati Panigale 959,885000,300,First,2,959,Ducati
213,Yamaha FZs 150cc,30000,50000,First,6,150,Yamaha
214,Bajaj Platina 100cc,22000,22000,First,6,100,Bajaj
215,Royal Enfield Classic,115000,10000,First,4,350,Royal Enfield
216,Bajaj V15 150cc,55000,3000,First,4,150,Bajaj
217,Bajaj Discover 125ST,20000,55000,First,9,125,Bajaj
218,Hero Splendor iSmart,56000,16500,First,4,110,Hero
219,TVS Sport 100cc,28000,36000,First,5,100,TVS
220,Hero Super Splendor,44000,7329,First,3,125,Hero
221,Bajaj Dominar 400,190000,8780,First,2,400,Bajaj
222,Royal Enfield Bullet,78000,20000,First,8,350,Royal Enfield
223,Honda CBF Stunner,18787,28164,First,10,125,Honda
224,Bajaj Pulsar AS200,51500,20600,First,6,200,Bajaj
225,Bajaj Avenger 220cc,54200,5700,First,6,220,Bajaj
226,Royal Enfield Classic,175000,11277,First,3,500,Royal Enfield
227,Bajaj Avenger 220cc,48000,26000,First,7,220,Bajaj
228,Honda Livo 110cc,40000,4000,First,5,110,Honda
229,Bajaj Dominar 400,102400,11600,First,4,400,Bajaj
230,Yamaha FZ V,65000,8800,First,3,150,Yamaha
231,KTM RC 390cc,170000,2100,First,4,390,KTM
232,Bajaj Pulsar 150cc,12999,65000,First,13,150,Bajaj
233,KTM Duke 200cc,87000,20000,First,6,200,KTM
234,Bajaj Avenger 220cc,45600,18000,Second,5,220,Bajaj
235,Bajaj Pulsar 180cc,42000,58000,First,7,180,Bajaj
236,Bajaj Pulsar NS200,47000,24445,First,8,200,Bajaj
237,Bajaj Discover 100M,31000,34525,First,7,100,Bajaj
238,Suzuki Gixxer SF,72500,19000,First,4,150,Suzuki
239,Suzuki Gixxer 150cc,80999,4000,First,3,150,Suzuki
240,Bajaj Pulsar RS200,85000,9148,First,6,200,Bajaj
241,TVS Apache RTR,60000,16000,First,5,160,TVS
242,Bajaj Dominar 400,148999,3694,First,4,400,Bajaj
243,Bajaj V15 150cc,49000,7524,First,5,150,Bajaj
244,Hero Passion Pro,30000,23000,First,8,100,Hero
245,KTM RC 200cc,140000,12800,First,6,200,KTM
246,KTM RC 390cc,237818,1440,First,2,390,KTM
247,Yamaha SZ-RR 150cc,23600,22672,Second,6,150,Yamaha
248,Royal Enfield Thunderbird,100000,25000,First,8,500,Royal Enfield
249,KTM RC 200cc,160700,10000,First,3,200,KTM
250,Royal Enfield Bullet,78000,34200,First,6,350,Royal Enfield
251,Bajaj V15 150cc,45000,7000,First,4,150,Bajaj
252,Royal Enfield‎ Bullet,60000,3490,First,9,350,Royal Enfield
253,KTM RC 200cc,150000,7500,First,5,200,KTM
254,Bajaj Discover 150F,37000,13500,First,5,150,Bajaj
255,Royal Enfield Classic,125000,11000,First,5,350,Royal Enfield
256,Bajaj Pulsar RS200,70000,56353,First,5,200,Bajaj
257,Bajaj Pulsar 220cc,40000,25000,First,7,220,Bajaj
258,Yamaha Saluto 125cc,62000,1123,First,2,125,Yamaha
259,Royal Enfield Interceptor,280000,1500,First,2,650,Royal Enfield
260,Bajaj V15 150cc,44000,15000,First,4,150,Bajaj
261,Royal Enfield Thunderbird,85000,31000,First,7,350,Royal Enfield
262,Bajaj Avenger Cruise,51000,28000,First,5,220,Bajaj
263,Bajaj Avenger Street,75000,11460,First,3,220,Bajaj
264,KTM RC 390cc,160000,23000,First,5,390,KTM
265,Bajaj Pulsar NS200,106000,1175,First,2,200,Bajaj
266,Triumph Street Triple,599999,7800,Third,5,675,Triumph
267,Honda CBR 250R,85000,15000,First,7,250,Honda
268,Hero Splendor Plus,31500,28653,First,8,100,Hero
269,Hyosung Aquila GV250,150000,8000,Second,6,250,Hyosung
270,Jawa Forty Two,210000,2100,First,2,295,Jawa
271,Bajaj V12 125cc,50000,3300,First,4,125,Bajaj
272,Bajaj Discover 100M,29300,19000,First,6,100,Bajaj
273,Bajaj V12 125cc,35740,20400,First,4,125,Bajaj
274,Yamaha FZs 150cc,24500,25000,First,10,150,Yamaha
275,Hero Karizma ZMR,45000,18000,First,7,223,Hero
276,KTM Duke 390cc,210000,12000,First,4,390,KTM
277,Royal Enfield Bullet,71000,11000,First,9,350,Royal Enfield
278,Yamaha Fazer 25,80400,5100,Second,4,250,Yamaha
279,Royal Enfield Classic,135000,2200,First,4,350,Royal Enfield
280,Harley-Davidson Street 750,350000,3100,First,6,750,Harley-Davidson
281,Hero Karizma ZMR,57000,1500,First,11,223,Hero
282,Hero Xpulse 200T,76000,3000,First,2,200,Hero
283,Bajaj Pulsar 150cc,42100,22560,First,11,150,Bajaj
284,Yamaha YZF-R15 S,73000,16658,First,6,150,Yamaha
285,Benelli 302R 300CC,366000,3135,First,3,302,Benelli
286,Honda CB Hornet,61200,29000,Second,3,160,Honda
287,Royal Enfield Bullet,82000,29860,First,7,350,Royal Enfield
288,Royal Enfield Classic,120000,12000,First,5,350,Royal Enfield
289,TVS Apache RTR,80000,7000,First,3,160,TVS
290,Suzuki Gixxer 150cc,81800,3700,First,2,150,Suzuki
291,Bajaj Avenger 220cc,45900,27000,First,6,220,Bajaj
292,Bajaj Pulsar NS200,86200,9300,First,4,200,Bajaj
293,Hero Splendor Plus,40000,9000,First,3,100,Hero
294,Hero Hunk 150cc,10000,21389,First,12,150,Hero
295,Hyosung Aquila GV250,155000,13500,First,5,250,Hyosung
296,Bajaj Pulsar NS200,46000,24374,First,6,200,Bajaj
297,KTM RC 390cc,215000,9600,First,4,390,KTM
298,Honda Dream Yuga,23000,37000,First,7,110,Honda
299,Bajaj Avenger Cruise,55250,7781,Second,3,220,Bajaj
300,Hero Passion Xpro,58000,7758,First,2,110,Hero
301,Yamaha FZ S,66000,8000,First,3,150,Yamaha
302,Hero Karizma ZMR,55000,32000,First,7,223,Hero
303,Royal Enfield Classic,89730,12100,First,9,500,Royal Enfield
304,Royal Enfield Classic,108000,26811,First,6,350,Royal Enfield
305,Yamaha YZF-R3 320cc,314100,13500,First,3,320,Yamaha
306,Hero HF Deluxe,18800,10401,First,8,100,Hero
307,Harley-Davidson Street 750,417000,13000,Second,5,750,Harley-Davidson
308,Bajaj Dominar 400,105000,20500,First,4,400,Bajaj
309,Honda CB Twister,20000,19211,First,6,110,Honda
310,Royal Enfield Classic,88000,22500,First,10,350,Royal Enfield
311,Bajaj Pulsar 125cc,47000,14009,First,2,125,Bajaj
312,Bajaj Avenger Street,95000,11000,First,2,220,Bajaj
313,Yamaha YZF-R15 V3,108000,2982,First,3,150,Yamaha
314,KTM Duke 390cc,186100,12000,First,3,390,KTM
315,Honda CB Shine,81500,3000,First,1,125,Honda
316,Bajaj CT 100,20000,30806,First,5,100,Bajaj
317,Bajaj Pulsar 150cc,15000,55000,Second,13,150,Bajaj
318,Bajaj V15 150cc,39000,5000,First,5,150,Bajaj
319,Royal Enfield Classic,102500,29000,First,5,350,Royal Enfield
320,Royal Enfield Classic,87000,15000,First,7,350,Royal Enfield
321,Bajaj Dominar 400,118000,14500,First,3,400,Bajaj
322,Royal Enfield Classic,131100,6200,First,4,350,Royal Enfield
323,Honda CB Hornet,42000,19000,First,5,160,Honda
324,Honda Dream Neo,45000,15000,First,4,110,Honda
325,BMW G 310,255000,2200,First,3,310,BMW
326,TVS Apache RTR,78700,3710,First,2,160,TVS
327,Honda CBR 250R,62800,38400,Second,7,250,Honda
328,Bajaj Pulsar AS150,35000,18000,First,6,150,Bajaj
329,Bajaj V15 150cc,33800,17000,First,5,150,Bajaj
330,Kawasaki Ninja 250cc,125000,21000,Third,11,250,Kawasaki
331,Royal Enfield Himalayan,146000,4700,First,5,410,Royal Enfield
332,Benelli TNT 899,569400,3174,First,6,899,Benelli
333,Kawasaki Ninja 650cc,600000,230,First,1,650,Kawasaki
334,KTM RC 200cc,185000,3000,First,2,200,KTM
335,Hero Passion Pro,32000,32000,First,5,100,Hero
336,Hero Super Splendor,38000,21000,First,4,125,Hero
337,Bajaj V15 150cc,35000,38717,First,5,150,Bajaj
338,Hero Achiever 150cc,42000,1999,First,3,150,Hero
339,TVS Apache 150cc,9350,39822,Second,13,150,TVS
340,Kawasaki ER-6n 650cc,330000,7500,First,5,650,Kawasaki
341,Hero HF Deluxe,36500,23000,First,7,100,Hero
342,Hero Splendor Plus,38000,17376,Second,5,100,Hero
343,Royal Enfield Standard,75000,33000,First,8,350,Royal Enfield
344,Benelli TNT 300,230000,9500,First,4,300,Benelli
345,TVS Apache RTR,31500,20000,First,8,160,TVS
346,Royal Enfield Thunderbird,46000,35000,First,16,350,Royal Enfield
347,Royal Enfield Classic,109900,8600,First,5,350,Royal Enfield
348,Bajaj V15 150cc,35000,18000,First,5,150,Bajaj
349,Bajaj Pulsar NS160,65000,18000,First,3,160,Bajaj
350,Jawa Forty Two,175000,1800,First,2,295,Jawa
351,Royal Enfield Classic,126000,23000,First,4,350,Royal Enfield
352,Honda CB Shine,25000,29000,First,9,125,Honda
353,Honda CB Unicorn,89000,5000,First,2,150,Honda
354,Royal Enfield Classic,160000,7500,First,2,350,Royal Enfield
355,Bajaj Pulsar RS200,130000,15000,First,2,200,Bajaj
356,Honda CB Shine,33500,26000,Second,12,125,Honda
357,Yamaha YZF-R15 V3,128000,8000,First,3,150,Yamaha
358,Royal Enfield Classic,143000,7000,First,3,350,Royal Enfield
359,Bajaj Pulsar 135LS,31000,31464,Second,9,135,Bajaj
360,Suzuki Intruder 150cc,72000,7419,First,3,150,Suzuki
361,TVS Apache RTR,108500,10000,First,2,200,TVS
362,Bajaj Pulsar 220F,74500,10000,First,4,220,Bajaj
363,Bajaj CT 100,24000,6300,First,4,100,Bajaj
364,Bajaj Pulsar 220cc,80000,17000,First,3,220,Bajaj
365,Bajaj Pulsar 220cc,81000,22000,First,3,220,Bajaj
366,Royal Enfield Classic,115000,15000,Second,5,350,Royal Enfield
367,Hero Passion Pro,56500,10000,First,2,110,Hero
368,Bajaj Pulsar 220cc,75000,16000,First,4,220,Bajaj
369,Yamaha YZF-R15 150cc,72000,32542,First,6,150,Yamaha
370,Suzuki Gixxer 150cc,73000,7461,First,4,150,Suzuki
371,Bajaj Pulsar NS200,69500,28000,First,6,200,Bajaj
372,TVS Apache RTR,78500,9800,First,3,160,TVS
373,TVS Apache RTR,87000,7000,First,2,160,TVS
374,TVS Apache RTR,40000,16688,Second,6,180,TVS
375,Mahindra Mojo 300cc,145000,16000,First,5,300,Mahindra
376,Royal Enfield Interceptor,265000,12900,First,2,650,Royal Enfield
377,Benelli TNT 300,235000,7000,First,4,300,Benelli
378,Harley-Davidson Street 750,400000,3000,First,6,750,Harley-Davidson
379,Honda CB Twister,30000,11000,First,13,110,Honda
380,KTM RC 200cc,140000,14000,First,5,200,KTM
381,Yamaha FZ25 250cc,98000,17000,First,3,250,Yamaha
382,Royal Enfield Thunderbird,74500,5432,Second,6,350,Royal Enfield
383,TVS Apache RTR,75000,3419,First,3,200,TVS
384,Hero Ignitor Disc,27500,25757,First,8,125,Hero
385,TVS Apache 150cc,10200,71474,First,12,150,TVS
386,Bajaj Avenger Street,57000,17000,First,5,150,Bajaj
387,TVS Apache RTR,21000,34688,First,13,160,TVS
388,Bajaj Pulsar NS160,68500,8100,First,3,160,Bajaj
389,KTM Duke 250cc,174500,7900,First,3,250,KTM
390,Royal Enfield Classic,108000,20000,First,5,350,Royal Enfield
391,Suzuki Gixxer SF,50000,12000,First,4,150,Suzuki
392,Royal Enfield Continental,118000,12000,First,7,535,Royal Enfield
393,Hero Glamour Disc,33000,17525,First,5,125,Hero
394,KTM RC 200cc,150000,9000,First,4,200,KTM
395,Bajaj Pulsar 220cc,70000,5000,First,4,220,Bajaj
396,Royal Enfield Bullet,105000,13200,First,6,350,Royal Enfield
397,Bajaj Dominar 400,135000,5000,First,4,400,Bajaj
398,Bajaj Dominar 400,140000,7500,First,4,400,Bajaj
399,Hero Passion Xpro,26000,28000,First,8,110,Hero
400,KTM RC 390cc,230000,1100,First,4,390,KTM
401,Honda CB Shine,53000,25000,First,5,125,Honda
402,Bajaj Avenger Street,76000,7500,First,4,150,Bajaj
403,Bajaj Dominar 400,135000,7000,First,4,400,Bajaj
404,Bajaj V12 125cc,45000,10200,First,4,125,Bajaj
405,Bajaj V15 150cc,60000,3500,First,4,150,Bajaj
406,Hero Splendor iSmart,40000,15000,First,4,110,Hero
407,Royal Enfield Classic,133000,8000,First,4,350,Royal Enfield
408,Bajaj Discover 100M,25000,33000,First,7,100,Bajaj
409,Suzuki Gixxer SF,99999,5500,First,3,150,Suzuki
410,Honda CBR 250R,130000,14500,Second,8,250,Honda
411,Hero HF Dawn,25000,40688,First,5,100,Hero
412,Bajaj Pulsar 220F,75000,15000,First,4,220,Bajaj
413,Bajaj Pulsar 180cc,53000,10000,First,5,180,Bajaj
414,Suzuki Slingshot Plus,25000,16801,First,6,125,Suzuki
415,Bajaj Pulsar 150cc,46500,21342,First,5,150,Bajaj
416,Mahindra Centuro Rockstar,18999,38669,Third,6,110,Mahindra
417,Mahindra Centuro 110cc,17800,10000,First,8,110,Mahindra
418,Bajaj Pulsar 180cc,52000,17000,First,4,180,Bajaj
419,Honda CB Hornet,70000,13500,First,4,160,Honda
420,Yamaha YZF-R15 2.0,85000,7350,First,5,150,Yamaha
421,Royal Enfield Classic,150000,4000,First,2,350,Royal Enfield
422,Royal Enfield Classic,115000,27000,First,5,350,Royal Enfield
423,Honda CBR 150R,93200,6500,First,5,150,Honda
424,KTM Duke 390cc,155000,21250,First,5,390,KTM
425,Bajaj Pulsar RS200,78000,16000,First,6,200,Bajaj
426,Royal Enfield Thunderbird,85000,12600,First,7,350,Royal Enfield
427,Bajaj Pulsar 150cc,43000,32000,First,5,150,Bajaj
428,TVS Apache RTR,50390,45949,First,4,160,TVS
429,Royal Enfield Classic,128700,15900,Second,5,500,Royal Enfield
430,Harley-Davidson Street Rod,510000,5600,First,4,750,Harley-Davidson
431,Yamaha FZ S,65000,33000,First,4,150,Yamaha
432,Honda CBR 150R,55000,2000,First,9,150,Honda
433,Royal Enfield Bullet,126000,6518,First,4,350,Royal Enfield
434,Hero Splendor Plus,53300,10000,First,2,100,Hero
435,Bajaj Pulsar NS200,76000,10000,First,4,200,Bajaj
